modelId,layer,feature,description,explanationModelName,typeName
gemma-2-2b,5-gemmascope-res-16k,7619,hashtags in the text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,274, urls within text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,4217, dates and times,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,5842,html tags and code snippets,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,791, sentences that express strong emotions or pivotal moments,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,3661, mathematical symbols and notation in a formal context,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,3662,"statements of existence or non-existence along with related verbs like ""is"" and ""are""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,20, code structures related to function signatures and type annotations in programming,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,34," patterns in structured data, particularly relating to identifiers and relationships in a database context",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,41,"references to transformations and forms, particularly in a spiritual or mythological context",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,67,references to iron and its compounds in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,71, html attributes and their values,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,81, indicators of coding structure or syntax in programming languages,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,98, numerical values and statistical data,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,101,references to nursing and healthcare roles,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,102," references to comments in code, specifically those marked with ""/*"" for multi-line comments",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,113, references to scientific protocols and solutions used in laboratory experiments,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,115," references to financial documents, transactions, and checks",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,127, references to bowls in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,131,intensive adverbs used for emphasis,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,141,terms associated with medical conditions and treatments,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,142, occurrences of common programming imports and utility functions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,150, biochemical pathways and interactions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,171," instances of numerical expressions and symbols, indicating mathematical or scientific notation",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,181,terms related to data collection and aggregation in a structured manner,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,191," occurrences of the term ""gamma"" and its variations in mathematical context",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,3663,mathematical expressions and symbols related to equations and functions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,211,references to the concept of doubling or increasing quantities,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,214,"the presence of the word ""please.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,225,terms related to fluid dynamics and flow processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,231,technical terminology and statistical concepts related to data analysis and methodologies,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,241, phrases indicating causation or justification,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,247, references to perception and insight,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,251, words that denote possession or belonging,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,260,terms related to addictive behaviors and substance use,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,272, numerical values and their occurrences in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,288,"instances of the word ""ve,"" indicating actions related to possession or completed actions",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,287,terms and concepts related to silicon and its compounds,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,292,weather-related terms and descriptions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,301,specific terms related to circumstances and legal contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,311, code formatting elements and structure indicators,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,321, terms related to gaming and gambling,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,322," the phrase ""in lieu of.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,326,conversational exchanges or dialogue,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,332,connections and interactions between entities or individuals,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,354, ellipses and additional notation symbols in text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,371, nouns and technical terms related to processing and installation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,386,specific pronouns and articles related to objects and their modification,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,391, references to android development resources and components,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,418,"the word ""meanwhile"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,485, function call syntax in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,423,"dates and numerical values, particularly those related to events and timelines",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,431,"references to leaking or leaks, particularly in a context related to bodily fluids or information",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,441,references to legal arguments and claims,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,451," the repeated occurrence of the word ""there.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,460,references to time and temporal relationships,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,472,questions related to methods and timing of various actions or processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,457,"references to protocol and message structures in programming languages, particularly related to protobuf",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,486, references to specific topics or categories,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,503,specific code syntax and structure elements in programming languages,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,513, references to the passage of time and significant dates,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,512,terms related to server requests and responses,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,516,"references to ""objects"" and ""object-oriented"" concepts, particularly in programming contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,522,themes of blessings and curses,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,532,the start of a new section or paragraph within text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,550, mentions of irish culture and identity,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,563,"references to compressed file formats, particularly zip files",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,571,biological terms related to genetic sequences and their variations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,579,terms and expressions related to formal procedures or structures,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,581,key phrases related to shipping and service terms,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,591, coded structure and return statements in programming documents,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,608, instances of complaints and related expressions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,606,comment syntax in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,612,"references to interviews or interactions involving professionals, particularly within healthcare and educational contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,618, phrases related to scheduling appointments and free consultations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,621,elements that denote structural or formatting components in documents,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,638,css properties related to width,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,651,terms related to advancements in technology and their applications in various fields,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,661,patterns of numerical data and their significance,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,675,numeric values and statistical results,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,681,phrases that express distance or extent,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,682, elements related to structured programming constructs and variables,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,691, references to groups and partnerships involved in community service and support initiatives,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,709, lines of code related to defining classes and functions in java-like programming languages,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,721,"structured data formats, particularly json objects and their properties",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,738, references to liquids in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,741, programming-related syntax and keywords,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,742,phrases and language that indicate clarity and distinctness in descriptions or definitions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,753, references to literature and notable literary works and figures,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,754,keywords and elements related to programming tasks and ui components in software development,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,761," mathematical operations and functions, particularly those involving sums, roots, and conditional calculations",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,771,terms related to the process and act of installing software or systems,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,775,phrases related to concepts of time and progress,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,782, mathematical syntax and formatting elements,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,784, instances of image references or links in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,797,"metadata elements related to documents, such as titles, authors, and dates",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,798,words and phrases related to historical or legal documents and record-keeping,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,802,technical terms and components related to model definitions in programming,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,806,phrases expressing conditional statements regarding life and death choices in the context of family relationships,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,811, concepts related to signaling mechanisms and their effects on various biological processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,821,references to possessive pronouns and ownership,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,825,references to mental states or conditions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,832,technical terms and references related to specific fields or studies,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,841, references to legal contexts and court cases,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,842,substantive mathematical results or significant conclusions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,851,"references to sports events, particularly related to football tournaments and cups",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,870, terms associated with kidney disease and related medical terminology,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,882,"conditional statements that begin with ""if""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,884,terms related to derivation or extraction in scientific and technical contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,897, structured numerical values or mathematical expressions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,903,questions and symbols related to inquiries or queries,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,911,terms related to scientific measurements and evaluations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,928,organizational and contextual cues related to locations and entities,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,931,"instances of the word ""clear"" and its variations, as well as references to clearing or cleaning actions",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,941,elements of a structured outline or list format,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,951,terms associated with dining and eating experiences,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,954,"the preposition ""with""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,5-gemmascope-res-16k,971,questions related to extent and specifics of information,gpt-4o-mini,oai_token-act-pair
