modelId,layer,feature,description,explanationModelName,typeName
gemma-2-2b,3-gemmascope-res-16k,11559,spaces or gaps in the text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,2813, references to holidays,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,8519,references to toys,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,9399,descriptive imagery related to sensations and physical states,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,9499,css properties related to border styles and dimensions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,9588," occurrences of the word ""enter"" in various forms and contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,9582, html and jsx elements within the code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,9671, programming-related syntax and structure in code snippets,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,9698,structures that indicate branching or conditional logic in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,9953,code-related elements and expressions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10028,"terms related to deficiencies and fortification in nutrition, particularly vitamins and minerals in specific regions or populations",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10229,phrases indicating an action of sitting down,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10264, references to specific divisions or departments,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10263,terms related to spray drying processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10373, html tags and their attributes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10377,annotations and comments in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10396, statistical terms and numerical data in a scientific context,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10408,commands related to graphic inclusion and footnotes in documents,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10443,"references to michigan and its cities, particularly detroit",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10485,terms and references related to genomes and genomic data,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10484,urls within the text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10498,names of individuals and familial relationships,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10508,terms related to cloud service configurations and resource management,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10597,specific addresses and locations within a given text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10594,references to various types of musicians and performers,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10629,"repetitive phrases that include varying uses of ""as.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10628,"references to ""pit"" or ""pits"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10627,"the term ""separate"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10725,instances of different types of json readers and writers used in data serialization,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10775,elements related to measurement and sensors,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10848, phrases that indicate the presentation of data or results,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,10922, references to post-event sequences or conditions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11046,references to various types of pins,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11171, occurrences of the word 's' in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11184, programming constructs related to variables and function definitions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11374,terms related to drivers and driving,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11412,html and css attributes related to styling elements,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11420,words related to demonstration and proof,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11467,phrases indicating negation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11463, terms related to centers and organizations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11634,references to attacks or assaults,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11691,keywords related to productivity and its impact in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11724,"mathematical operations and expressions, particularly those involving addition and subtraction",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11730,"references to ""dim sum"" and related terms in cantonese cuisine",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11746,technical terms and identifiers related to network protocols and data management,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,11993, references to github repositories and associated metadata,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12026, monetary values and currency symbols,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12113, references to hollywood and its cultural significance,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12141,"instances of the word ""know"" and its context in relation to conveying information or awareness",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12166,"references to a ""board"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12273,expressions of gratitude,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12286,elements of code related to pointer dereferencing in programming,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12310,expressions of identity and self-description,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12322,"instances of the word ""sky"" and variations related to it",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12451," instances of the word ""had"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12578, instances of document structure and conclusion markers,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12582,expressions of gratitude,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12783,mathematical expressions involving conditional probabilities,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12804, mathematical symbols and notations in the context of combinatorial mathematics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12802,questions and elements of inquiry within the text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12833,phrases related to built-in components or features in products,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12892, programming and technical terms related to error handling,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12908,instances of advice and counsel related to legal or medical contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12943," java exception handling keywords, specifically focusing on ioexceptions and assertions",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,12995,references to a governmental cabinet or similar organizational bodies,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13017,phrases that involve user interaction or commands,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13056," references to awards, competitions, and distinctions related to individuals, particularly focusing on men and women in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13088,"terms related to the concept of ""bulk"" or significant quantities in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13131," occurrences of the term ""zero"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13173,references to babies and infants,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13187,keywords related to genetic research and sequencing technologies,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13337,phrases indicating an invitation for communication or connection,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13335,terms related to investigations and scandals involving corruption and allegations against public figures,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13383,"instances of the word ""now.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13412, references to shelves and their organization,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13608,terms related to api parameter management,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13683,"terms related to the context of merit or excellence, especially within recognized figures or concepts in various fields",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13694,expressions of belief and trust,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13751,"phrases indicating uncertainty or conditions involving ""any.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13758,references to islam and related terms,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,13924, keywords and identifiers related to publications and public methods in programming,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14118,"the word ""particularly.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14237,past tense verbs and expressions indicating actions that have been completed,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14253,monetary values or references to currency,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14265, conditional statements or hypotheticals,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14283, legal terms related to judgments and commitments,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14316," the word ""why"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14341,"words related to arguing, debating, or presenting disputes",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14347, concepts and discussions related to wealth and financial topics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14351,references to vendors and vendor management,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14434, references to ipv6-related terms and parameters,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14464,references to types of grease or lubrication products,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14462,phrases indicating escaping or getting away from something,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14486,mentions of north korea and its leaders in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14545, occurrences of the number 19,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14547,modal verbs and expressions of possibility or necessity,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14559, terms and concepts related to clinical studies and their outcomes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14614,references to medical conditions and symptoms,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14650,the presence of drawing-related keywords and references to visual representations in a document,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14696,references to java components related to persistence and annotations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14699,"references to the name ""gar.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14748,sentences that conclude or summarize key points,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14863,punctuation marks and sentence endings,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14948,phrases indicating potential or capability,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14946," occurrences of the keyword ""static"" in programming contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,14986,"phrases that indicate certainty or confidence, particularly using the word ""well.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15010,references to prayer and its significance in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15014,references to various choices or alternatives available,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15040, headings and subheadings in a document,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15076,"terms related to transitions and migrations, particularly in a legal or procedural context",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15188, references to microsoft technologies and related terms,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15197,words related to optical lenses and their characteristics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15201,functions and methods related to pdf file handling and manipulation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15200, numerical values and symbols related to data or statistics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15315,terms related to durability and longevity,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15320,references to specific individuals and their situations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15366,"the presence of the verb ""have"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15387, instances of desperation or urgent emotional states,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15506,references to television shows and comedic appearances,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15534," instances of the word ""range.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15575,phrases related to statistical distributions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15582,references to social structures or systems of human relationships,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15646, html links,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15676,"instances of the word ""forget.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15742,references to newspapers and print media,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15745," mentions of the word ""torch.""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15852, instances of parentheses in the text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15906,usernames or identifiers related to django applications,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,3-gemmascope-res-16k,15937,references to actors and acting,gpt-4o-mini,oai_token-act-pair
