modelId,layer,feature,description,explanationModelName,typeName
gemma-2-2b,12-gemmascope-res-16k,0,this is an explanation text!,,
gemma-2-2b,12-gemmascope-res-16k,9909,"the word ""to""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,5014,email addresses,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,6180,events in sports matches,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,14185,urls or web links,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,15242,references to file paths,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,2142,"phrases and punctuation related to expressing gratitude or appreciation, particularly in a business context. it activates strongly for phrases like ""thank you"", ""we appreciate"", ""we look forward to"", and especially for punctuation like exclamation points and periods following such phrases.",claude-3-5-sonnet-20240620,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,13137,"phrases indicating physical proximity or accompaniment between people, particularly when one person is following, going with, or being close to another.",claude-3-5-sonnet-20240620,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,1501,"moments of surprise or unexpected events, particularly those that are positive or celebratory in nature.",claude-3-5-sonnet-20240620,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,7224,"phrases or concepts related to companies, firms, or organizations and their activities or characteristics.",claude-3-5-sonnet-20240620,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,4941,"bibliographic citation details for academic publications, particularly journal volume, issue, and page numbers.",claude-3-5-sonnet-20240620,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,413,"attribution patterns for quotes or statements from experts, particularly focusing on the name, title, and institutional affiliation of the person being quoted.",claude-3-5-sonnet-20240620,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,2078,"materials used in manufacturing or construction, particularly metals, plastics, and other industrial materials.",claude-3-5-sonnet-20240620,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,10640, keywords and references related to academic or scientific sources,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,10641,legal terms and references specific to court cases and jurisdictions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,10642,"numerical references relating to dates, events, or significant identifiers",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,14681,comparative and contrasting phrases,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,115,numerical data and statistical references,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,117,function definitions and callback structures in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,118,quantitative data represented in ranges or intervals,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,111, words related to charitable actions among celebrities,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,110,function calls related to string handling and resource management,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,116, programming structures and function definitions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,112,verbs or phrases that indicate changes or transformations over time,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,119,references to athletic achievements and performances,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,125, descriptors related to quality and precision,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,126," programming constructs related to data structures, storage, and game-related entities",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,128, code comments and license notations in programming-related text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,129,terms related to efficiency and usability in technology or algorithms,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,120,technical terms and references related to scientific and mathematical concepts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,123,mathematical operations and assignments,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,127,formatted strings or identifiers related to programming or api documentation,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,6,characters and entities related to storytelling and narratives,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,3,phrases related to optimization and efficiency,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,8,"instances of the conjunction ""and"" in various contexts",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,7,phrases that indicate unexpected changes or events,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,0, references to labeled data or metadata in documents,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,9,code import statements in programming,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,14,technical terms and programming constructs related to data processing,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,13, keywords and concepts related to animation techniques and processes,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,12,terms and phrases related to copyright and licensing issues,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,10,terms related to programming languages,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,15,emotional expressions related to humor and sarcasm,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,18,terms related to food and culinary subjects,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,11,scientific terms related to measurement and normalization in experiments,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,17, performance rankings and positions in competitive contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,21,percentages and measurements related to materials,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,23,medical qualifications and specialties,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,25,references to concepts of spirit and spirituality,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,27,references to various entities and their relationships in specific contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,28,elements related to cultural artifacts and social commentary,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,22,scientific terms and concepts related to virology and immunology,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,29,ui elements and their associated events in a web application,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,26,numerical quantifiers and comparisons,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,24, code structures related to function declarations and definitions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,12-gemmascope-res-16k,39,terms related to wildlife management and environmental conditions,gpt-4o-mini,oai_token-act-pair
