modelId,layer,feature,description,explanationModelName,typeName
gemma-2-2b,21-gemmascope-res-16k,432, urls in the text,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,9646, html or xml code snippets,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,11687,titles of books or works,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,2,"references to electronic energy states and orbitals, particularly focusing on valence bands, core levels, and specific electron configurations like 4f states.",claude-3-5-sonnet-20240620,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,7564,"references to the name ""jo""",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,13171,comment blocks in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,13329,expressions related to authority and judgment,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,13327,mentions of outdoor activities and interests in lifestyle,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,100,"terms related to programming concepts and code structure, particularly within apis and configurations",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,104,various function calls and method invocations in code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,102, complex mathematical structures and formulations,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,106,words related to examination and analysis,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,107,"""<bos>"" and similar special tokens indicating breaks or formats in text",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,103,hypocrisy within educational discussions,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,108,"phrases related to social issues, particularly immigration and public health",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,101, references to object methods and their invocations in programming code,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,105,quotation marks and phrases within them,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,109,references to the concept of focus or concentration in various contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,110, references to subjects and topics within legal or formal contexts,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,111,terms and phrases related to sequencing and library preparation in genomic studies,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,114,"recommendations or evaluations of written works, emphasizing their worthiness to read",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,115,"references to scientific terminology, particularly in the context of mathematical and theoretical frameworks",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,117,"code syntax elements, particularly punctuation marks and structure-related tokens",gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,118, formatting elements commonly used in latex documents,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,119,references to variables and parameters related to a coding or testing framework,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,112,phrases that express the consequences or outcomes related to various topics,gpt-4o-mini,oai_token-act-pair
gemma-2-2b,21-gemmascope-res-16k,116,keywords related to industry leadership and technological advancement,gpt-4o-mini,oai_token-act-pair
